model_a,model_b,b01,b10,risk_diff,odds_ratio,p_value,q_value
anthropic-claude-3-sonnet-20240229,cohere-command-r-08-2024,4,17,-0.10833333333333339,0.23529411764705882,0.007197380065917969,0.035986900329589844
anthropic-claude-3-sonnet-20240229,google-gemini-2.5-flash,6,17,-0.09166666666666667,0.35294117647058826,0.03468966484069824,0.0867241621017456
anthropic-claude-3-sonnet-20240229,meta-llama-Llama-4-Maverick-17B-128E-Instruct,18,17,0.008333333333333304,1.0588235294117647,1.0,1.0
anthropic-claude-3-sonnet-20240229,openai-gpt-4o-mini,9,15,-0.050000000000000044,0.6,0.30745625495910645,0.38432031869888306
cohere-command-r-08-2024,google-gemini-2.5-flash,7,5,0.01666666666666672,1.4,0.7744140625,0.8604600694444444
cohere-command-r-08-2024,meta-llama-Llama-4-Maverick-17B-128E-Instruct,18,4,0.1166666666666667,4.5,0.004343509674072266,0.035986900329589844
cohere-command-r-08-2024,openai-gpt-4o-mini,11,4,0.05833333333333335,2.75,0.11846923828124999,0.23693847656249994
google-gemini-2.5-flash,meta-llama-Llama-4-Maverick-17B-128E-Instruct,17,5,0.09999999999999998,3.4,0.01690053939819336,0.056335131327311196
google-gemini-2.5-flash,openai-gpt-4o-mini,10,5,0.04166666666666663,2.0,0.30175781249999994,0.38432031869888306
meta-llama-Llama-4-Maverick-17B-128E-Instruct,openai-gpt-4o-mini,8,15,-0.05833333333333335,0.5333333333333333,0.21003961563110352,0.3500660260518392
