prompt_id,model,rater,dimension,score
P001,openai-gpt-4o-mini,R1,socratic_quality,4.103373901067859
P001,openai-gpt-4o-mini,R1,context_fidelity,3.791085687879426
P001,openai-gpt-4o-mini,R2,socratic_quality,3.8869005444768754
P001,openai-gpt-4o-mini,R2,context_fidelity,3.666075931742756
P001,anthropic-claude-3-sonnet-20240229,R1,socratic_quality,4.538188873890263
P001,anthropic-claude-3-sonnet-20240229,R1,context_fidelity,3.814476074076103
P001,anthropic-claude-3-sonnet-20240229,R2,socratic_quality,3.96124435310909
P001,anthropic-claude-3-sonnet-20240229,R2,context_fidelity,4.241941700075076
P001,google-gemini-2.5-flash,R1,socratic_quality,4.111687211820999
P001,google-gemini-2.5-flash,R1,context_fidelity,4.058119596908009
P001,google-gemini-2.5-flash,R2,socratic_quality,4.212860078698114
P001,google-gemini-2.5-flash,R2,context_fidelity,4.016418517335938
P001,cohere-command-r-08-2024,R1,socratic_quality,4.002150754419341
P001,cohere-command-r-08-2024,R1,context_fidelity,3.6974951832949974
P001,cohere-command-r-08-2024,R2,socratic_quality,3.695250839824364
P001,cohere-command-r-08-2024,R2,context_fidelity,3.792596165059115
P001,meta-llama-Llama-4-Maverick-17B-128E-Instruct,R1,socratic_quality,3.7608993758330667
P001,meta-llama-Llama-4-Maverick-17B-128E-Instruct,R1,context_fidelity,3.6164685155947796
P001,meta-llama-Llama-4-Maverick-17B-128E-Instruct,R2,socratic_quality,4.080481367531795
P001,meta-llama-Llama-4-Maverick-17B-128E-Instruct,R2,context_fidelity,3.6981526453971925
P002,openai-gpt-4o-mini,R1,socratic_quality,4.105846274875295
P002,openai-gpt-4o-mini,R1,context_fidelity,3.6557802114166407
P002,openai-gpt-4o-mini,R2,socratic_quality,4.2083307639970275
P002,openai-gpt-4o-mini,R2,context_fidelity,4.222332896497573
P002,anthropic-claude-3-sonnet-20240229,R1,socratic_quality,4.433770854529909
P002,anthropic-claude-3-sonnet-20240229,R1,context_fidelity,3.793104721596558
P002,anthropic-claude-3-sonnet-20240229,R2,socratic_quality,4.3490924599975305
P002,anthropic-claude-3-sonnet-20240229,R2,context_fidelity,3.9223877861559973
P002,google-gemini-2.5-flash,R1,socratic_quality,4.453955741269263
P002,google-gemini-2.5-flash,R1,context_fidelity,3.7553872955750354
P002,google-gemini-2.5-flash,R2,socratic_quality,4.291507954349853
P002,google-gemini-2.5-flash,R2,context_fidelity,4.139176475526429
P002,cohere-command-r-08-2024,R1,socratic_quality,4.102534654730442
P002,cohere-command-r-08-2024,R1,context_fidelity,3.763339370591403
P002,cohere-command-r-08-2024,R2,socratic_quality,4.745933781183071
P002,cohere-command-r-08-2024,R2,context_fidelity,3.618438463762371
P002,meta-llama-Llama-4-Maverick-17B-128E-Instruct,R1,socratic_quality,3.845475813536314
P002,meta-llama-Llama-4-Maverick-17B-128E-Instruct,R1,context_fidelity,3.8957710098023486
P002,meta-llama-Llama-4-Maverick-17B-128E-Instruct,R2,socratic_quality,3.9283940198948613
P002,meta-llama-Llama-4-Maverick-17B-128E-Instruct,R2,context_fidelity,3.7282795009271825
P003,openai-gpt-4o-mini,R1,socratic_quality,3.9688227197980255
P003,openai-gpt-4o-mini,R1,context_fidelity,3.5550711558224166
P003,openai-gpt-4o-mini,R2,socratic_quality,4.349759419830437
